,station,station_abbr,t_max,timestamp,elevation,latitude,longitude
32,Cimetta,CIM,4.1,2023-04-13 15:00,1663.0,46.200431,8.791597
33,Col des Mosses,CDM,0.6,2023-04-13 18:50,1414.0,46.391561,7.098292
34,Col du Grand St-Bernard,GSB,-4.0,2023-04-13 00:50,2479.0,45.868892,7.170714
35,Courtelary,COY,7.8,2023-04-13 17:50,697.0,47.180861,7.090633
36,Crap Masegn,CMA,-3.7,2023-04-13 00:20,2471.0,46.842492,9.180344
37,Cressier,CRM,9.6,2023-04-13 17:50,433.0,47.047606,7.059111
38,Davos,DAV,1.2,2023-04-13 00:00,1596.0,46.812956,9.843492
39,Delémont,DEM,9.8,2023-04-13 18:50,441.0,47.351706,7.349561
40,Disentis,DIS,4.8,2023-04-13 00:00,1199.0,46.706525,8.853467
41,Ebnat-Kappel,EBK,7.8,2023-04-13 13:30,625.0,47.273339,9.108489
42,Eggishorn,EGH,-6.3,2023-04-13 00:00,2895.0,46.426528,8.092728
43,Egolzwil,EGO,8.1,2023-04-13 12:20,523.0,47.179422,8.004764
44,Einsiedeln,EIN,5.7,2023-04-13 14:30,912.0,47.132986,8.756561
45,Elm,ELM,4.7,2023-04-13 00:30,960.0,46.923747,9.17535
46,Engelberg,ENG,4.2,2023-04-13 13:50,1037.0,46.821614,8.41045
47,Evionnaz,EVI,10.2,2023-04-13 12:30,484.0,46.182953,7.026747
48,Evolène / Villa,EVO,-0.3,2023-04-13 13:40,1828.0,46.112122,7.508647
49,Fahy,FAH,8.6,2023-04-13 17:40,598.0,47.423814,6.941128
50,"Flühli, LU",FLU,4.8,2023-04-13 13:00,942.0,46.889469,8.020283
51,Fribourg / Grangeneuve,GRA,7.3,2023-04-13 18:50,653.0,46.771397,7.113708
52,Frutigen,FRU,6.7,2023-04-13 13:00,758.0,46.599003,7.657542
53,Genève / Cointrin,GVE,11.6,2023-04-13 15:50,418.0,46.248528,6.122258
54,Gersau,GES,8.5,2023-04-13 00:10,522.0,46.996078,8.523386
55,Giswil,GIH,9.0,2023-04-13 13:30,473.0,46.849447,8.190225
56,Glarus,GLA,8.1,2023-04-13 13:10,519.0,47.034583,9.0669
57,Gornergrat,GOR,-7.5,2023-04-13 00:00,3131.0,45.983633,7.785742
58,Grenchen,GRE,8.6,2023-04-13 10:50,430.0,47.179089,7.415108
59,Grimsel Hospiz,GRH,-1.6,2023-04-13 00:00,1988.0,46.571689,8.333256
60,Grono,GRO,13.9,2023-04-13 12:40,326.0,46.254986,9.163728
61,Grächen,GRC,2.3,2023-04-13 13:40,1607.0,46.195306,7.836789
62,Göschenen,GOS,5.1,2023-04-13 00:00,952.0,46.692678,8.595364
63,Gösgen,GOE,9.1,2023-04-13 11:30,382.0,47.363106,7.973697
64,"Gütsch, Andermatt",GUE,-3.2,2023-04-13 00:00,2288.0,46.652475,8.615531
65,Güttingen,GUT,9.1,2023-04-13 12:50,442.0,47.601706,9.279408
66,Hallau,HLL,9.1,2023-04-13 15:10,421.0,47.697275,8.470472
67,Hörnli,HOE,4.7,2023-04-13 14:20,1134.0,47.370822,8.941617
68,Ilanz,ILZ,7.1,2023-04-13 13:00,700.0,46.775039,9.215353
69,Interlaken,INT,8.6,2023-04-13 12:50,579.0,46.672231,7.870139
70,Jungfraujoch,JUN,-11.0,2023-04-13 00:00,3582.0,46.547528,7.985097
71,Koppigen,KOP,10.0,2023-04-13 12:50,486.0,47.118847,7.605492
72,La Brévine,BRL,7.6,2023-04-13 07:10,1042.0,46.980131,6.607431
73,La Chaux-de-Fonds,CDF,5.9,2023-04-13 18:40,1019.0,47.082944,6.792247
74,La Dôle,DOL,-1.4,2023-04-13 16:30,1671.0,46.424772,6.099497
75,Lachen / Galgenen,LAC,9.4,2023-04-13 14:10,470.0,47.179197,8.858686
76,Langnau i.E.,LAG,6.4,2023-04-13 12:30,747.0,46.939625,7.806442
77,Le Moléson,MLS,-0.7,2023-04-13 01:30,1976.0,46.546172,7.017769
78,Leibstadt,LEI,9.5,2023-04-13 15:20,343.0,47.597261,8.188269
79,Les Attelas,ATT,-4.2,2023-04-13 00:00,2744.0,46.099111,7.268653
80,Les Charbonnières,CHB,4.7,2023-04-13 18:00,1047.0,46.67015,6.312428
81,Les Diablerets,DIA,-8.5,2023-04-13 00:00,2966.0,46.32675,7.203781
82,Les Marécottes,MAR,5.0,2023-04-13 10:30,992.0,46.118903,7.016597
83,Locarno / Monti,OTL,15.4,2023-04-13 15:30,369.0,46.172217,8.787486
84,Lugano,LUG,15.3,2023-04-13 14:20,275.0,46.003833,8.960117
85,Luzern,LUZ,9.5,2023-04-13 11:20,456.0,47.036417,8.300961
86,Magadino / Cadenazzo,MAG,16.7,2023-04-13 12:30,205.0,46.160019,8.933608
87,Marsens,MAS,6.6,2023-04-13 15:10,717.0,46.656525,7.069717
88,Mathod,MAH,11.1,2023-04-13 17:00,439.0,46.736978,6.567983
89,Matro,MTR,-0.9,2023-04-13 00:40,2193.0,46.410103,8.924742
90,Meiringen,MER,7.5,2023-04-13 13:30,591.0,46.732169,8.169261
91,"Montagnier, Bagnes",MOB,7.4,2023-04-13 13:40,841.0,46.071019,7.225272
92,Montana,MVE,2.3,2023-04-13 11:40,1424.0,46.298772,7.460761
93,Monte Generoso,GEN,3.9,2023-04-13 11:50,1602.0,45.927592,9.017875
94,Monte Rosa-Plattje,MRP,,,2891.0,45.956628,7.814575
95,Mosen,MOA,9.4,2023-04-13 12:20,454.0,47.243833,8.232819
96,Mottec,MTE,0.8,2023-04-13 00:00,1582.0,46.147953,7.624019
97,Möhlin,MOE,9.9,2023-04-13 14:30,346.0,47.572197,7.877911
98,Mühleberg,MUB,9.5,2023-04-13 14:40,482.0,46.973247,7.278164
99,Naluns / Schlivera,NAS,-1.3,2023-04-13 00:10,2382.0,46.817164,10.2614
100,Napf,NAP,0.4,2023-04-13 12:20,1406.0,47.004642,7.940053
101,Neuchâtel,NEU,9.9,2023-04-13 15:10,486.0,46.999994,6.953106
102,Nyon / Changins,CGI,10.9,2023-04-13 16:40,460.0,46.40105,6.227658
103,Oberriet / Kriessern,OBR,8.8,2023-04-13 12:00,411.0,47.376608,9.612706
104,Oron,ORO,5.9,2023-04-13 18:10,829.0,46.572264,6.858239
105,Passo del Bernina,BEH,-0.7,2023-04-13 00:50,2272.0,46.409158,10.019567
106,Payerne,PAY,10.0,2023-04-13 18:20,491.0,46.811578,6.942408
107,"Pfäffikon, ZH",PFA,8.7,2023-04-13 14:40,539.0,47.376817,8.754864
108,Pilatus,PIL,-3.7,2023-04-13 00:00,2107.0,46.978872,8.252322
109,Piotta,PIO,8.2,2023-04-13 13:40,991.0,46.514775,8.688111
110,Piz Corvatsch,COV,-6.3,2023-04-13 00:20,3297.0,46.418047,9.821381
111,Piz Martegnas,PMA,-3.0,2023-04-13 00:20,2670.0,46.577181,9.529544
112,Plaffeien,PLF,4.4,2023-04-13 18:10,1044.0,46.747694,7.26625
113,Poschiavo / Robbia,ROB,5.9,2023-04-13 09:20,1080.0,46.347194,10.062964
114,Pully,PUY,9.2,2023-04-13 16:40,457.0,46.512278,6.667461
115,Robièi,ROE,1.0,2023-04-13 01:50,1904.0,46.443067,8.513389
116,Rünenberg,RUE,7.2,2023-04-13 11:00,613.0,47.434556,7.879361
117,S. Bernardino,SBE,0.8,2023-04-13 03:40,1641.0,46.463539,9.184644
118,Salen-Reutenen,HAI,7.5,2023-04-13 14:40,720.0,47.651236,9.023911
119,Samedan,SAM,2.0,2023-04-13 00:00,1711.0,46.526244,9.879408
120,"Sattel, SZ",SAG,6.3,2023-04-13 14:10,792.0,47.081064,8.636967
121,Schaffhausen,SHA,10.3,2023-04-13 13:40,441.0,47.689803,8.620064
122,Schiers,SRS,7.2,2023-04-13 14:40,628.0,46.975506,9.668075
123,Schüpfheim,SPF,6.9,2023-04-13 12:30,746.0,46.947036,8.012442
124,Scuol,SCU,5.6,2023-04-13 00:00,1306.0,46.793272,10.283203
125,Segl-Maria,SIA,0.5,2023-04-13 01:10,1806.0,46.432331,9.762325
126,Simplon-Dorf,SIM,3.8,2023-04-13 01:50,1467.0,46.196825,8.056336
127,Sion,SIO,11.8,2023-04-13 12:50,481.0,46.217492,7.315283
128,St. Chrischona,STC,6.5,2023-04-13 19:00,725.0,47.571767,7.687094
129,St. Gallen,STG,6.5,2023-04-13 00:00,778.0,47.425456,9.398461
130,"Sta. Maria, Val Müstair",SMM,4.0,2023-04-13 00:00,1388.0,46.6022,10.426303
131,Stabio,SBO,15.0,2023-04-13 12:40,353.0,45.843406,8.932408
132,Säntis,SAE,-3.9,2023-04-13 00:00,2504.0,47.249439,9.343358
133,Thun,THU,8.0,2023-04-13 11:50,572.0,46.749797,7.585222
134,Titlis,TIT,-8.9,2023-04-13 00:10,3096.0,46.770506,8.425814
135,Uetliberg,UEB,3.9,2023-04-13 00:00,1016.0,47.351364,8.490225
136,Ulrichen,ULR,3.8,2023-04-13 14:20,1348.0,46.504856,8.308147
137,Vaduz,VAD,9.2,2023-04-13 13:20,459.0,47.127447,9.517514
138,Valbella,VAB,0.0,2023-04-13 00:10,1571.0,46.755033,9.554433
139,Vals,VLS,2.8,2023-04-13 00:00,1244.0,46.627758,9.188711
140,Vevey / Corseaux,VEV,9.3,2023-04-13 19:40,407.0,46.471292,6.815094
141,Vicosoprano,VIO,,,1091.0,46.353019,9.6278
142,Villars-Tiercelin,VIT,7.2,2023-04-13 18:30,861.0,46.621778,6.710069
143,Visp,VIS,9.8,2023-04-13 13:50,641.0,46.302875,7.842903
144,Weissfluhjoch,WFJ,-5.7,2023-04-13 01:30,2694.0,46.833325,9.806394
145,Wynau,WYN,9.9,2023-04-13 11:20,424.0,47.255019,7.787411
146,Wädenswil,WAE,10.0,2023-04-13 14:10,488.0,47.220933,8.677639
147,Würenlingen / PSI,PSI,8.1,2023-04-13 13:10,404.0,47.538947,8.228358
148,Zermatt,ZER,2.4,2023-04-13 15:50,1641.0,46.029261,7.752397
149,Zürich / Affoltern,REH,9.2,2023-04-13 13:20,445.0,47.427669,8.517889
150,Zürich / Fluntern,SMA,9.1,2023-04-13 13:50,558.0,47.377883,8.565733
151,Zürich / Kloten,KLO,9.7,2023-04-13 16:00,428.0,47.479583,8.535903
